Sample_ID,Depth(m),Age(Ma),Sz,Sz_std,Xlf,d13Cc,d18Oc,d13Co,R,R_std,CO2_ice,aFe,aSi,aAl,fFe,aFe_std,aSi_std,aAl_std,fFe_std,aFe/aSi,aFe/aAl,aSi/aAl,aFe/fFe,aSi/fFe,aAl/fFe,aFe/aSi_std,aFe/aAl_std,aSi/aAl_std,aFe/fFe_std,aSi/fFe_std,aAl/fFe_std,CO2,CO2_std,D,D_std
FX_3_0_46,0.755,0.025668,474.4638643,77.68329753,62.77227723,-7.156406693,-10.40421048,-22.899,0.39630076,0.064885763,188.03039,0.1216,0.08822,0.14537,1.1056,0.002826366,0.004952004,0.003309864,0.019459579,1.384173529,0.838215265,0.605419116,0.110020925,0.079691856,0.131516203,0.08758483,0.027694499,0.036918033,0.003188014,0.004693601,0.003838568,185.280213,0.528566422,26.18566667,0.097725807
FX_9_1_62,7.06,0.069627451,471.016376,70.04057973,34.4,-7.00670806,-9.529725985,-23.461,0.454991187,0.067657619,214.3083,0.086585,0.071185,0.093965,1.00524,0.002834748,0.004950105,0.003324152,0.042596112,1.220554394,0.922361826,0.75978549,0.086226041,0.071122368,0.093849057,0.094166164,0.044460329,0.056636327,0.004503486,0.005724433,0.005218341,211.5862707,1.10609775,27.089,0.018681542
FX_10_2_46,10.546,0.135872299,514.2199487,86.9725306,32.4,-7.030659958,-10.19833957,-22.633,0.395618763,0.066912933,203.43506,0.083365,0.068195,0.09814,1.087,0.002841923,0.004919884,0.003332591,0.012501648,1.227500808,0.849838836,0.698273472,0.076856134,0.062822257,0.090401746,0.099205582,0.041684258,0.054763148,0.002766543,0.004500272,0.00320374,204.6854881,2.07677314,26.75533333,0.152873586
FX_11_1_34,11.1,0.139227898,522.8386659,92.36955465,38.3,-7.445709159,-10.88024643,-22.937,0.36678653,0.064799929,191.77018,0.092185,0.082755,0.10994,1.15822,0.002844878,0.004943723,0.003338392,0.000961665,1.119170902,0.840542968,0.753406234,0.0797293,0.071636297,0.094953968,0.075220259,0.036399943,0.048807699,0.002504986,0.004458224,0.002819561,196.6963258,1.005277268,28.15866667,0.237580162
FX_11_1_90,11.66,0.142583497,470.668113,73.98824834,45.3,-7.534035745,-10.4368355,-23.353,0.405204718,0.063697511,190.71694,0.09462,0.091245,0.11329,1.13972,0.002855805,0.004968731,0.003354496,0.065647794,1.039003444,0.835458916,0.804843571,0.083190468,0.080092569,0.099386596,0.064344337,0.034590457,0.048124678,0.00535762,0.00640781,0.00643558,196.3681801,1.00296946,25.36766667,0.141227948
FX_12_1_78,12.86,0.149774067,430.9911244,64.18339191,34.2,-6.871157579,-9.726634937,-22.975,0.466529468,0.069475778,201.07006,0.08496,0.08125,0.099695,1.07011,0.002870325,0.004985504,0.003365719,0.039159574,1.05115367,0.854449669,0.815582796,0.0794431,0.076320638,0.093326595,0.073040646,0.042123401,0.058368032,0.004044865,0.005264612,0.004640723,202.3825648,2.354536555,29.49033333,0.054647354
FX_14_1_66,17.68,0.178656189,419.9856414,58.94571345,36.4,-6.353060694,-9.278794182,-22.738,0.516506896,0.072492639,216.92548,0.08769,0.071485,0.094505,1.08611,0.002874151,0.005009375,0.003381766,0.007311484,1.237609171,0.931495549,0.756427042,0.080713856,0.065822444,0.086995272,0.099656838,0.046008459,0.059530394,0.002822378,0.004573499,0.003073302,197.2982376,9.393209174,27.62766667,0.108840862
FX_16_2_76,23.944,0.258695652,433.6883289,62.97184321,38.6,-6.423236024,-10.02829155,-22.647,0.47025093,0.068280758,203.94234,0.08446,0.073005,0.100375,1.06001,0.002883909,0.00498177,0.00338218,0.068914627,1.162806153,0.842798505,0.728610862,0.080064976,0.068929326,0.094967094,0.085241677,0.040642209,0.056104709,0.00589661,0.006189198,0.006895375,202.9424964,3.139893357,23.017,0.089838744
FX_17_1_80,24.98,0.280173913,489.8391948,73.0551676,47.8,-7.050674779,-10.82518694,-23.198,0.437043712,0.06518119,214.08114,0.09393,0.08299,0.10426,1.18161,0.002897065,0.004962649,0.003384246,0.019982838,1.132960427,0.900706859,0.795021975,0.079547222,0.070271143,0.088403365,0.072849418,0.040077866,0.055021412,0.002825668,0.004270614,0.00322342,208.0003978,2.684683541,24.48966667,0.204773859
FX_17_2_68,26.357,0.294328767,449.0106299,62.81917179,40.8,-6.774817129,-10.70386182,-23.156,0.464088367,0.064928634,208.38061,0.097235,0.08712,0.101645,1.17848,0.002909,0.004941783,0.003398318,0.046357921,1.122318379,0.957293335,0.860683118,0.082617483,0.074356785,0.086431073,0.072644519,0.041716938,0.055050606,0.004035907,0.004930439,0.004487928,206.1867036,2.866932495,25.48666667,0.296044479
